hostname,time,cpuutilisation,cpuiowait,cpucontextswitches,memoryavailable,diskreadcount,diskwritecount,diskreadtime,diskwritetime,networkopenconnections,networkreceiveerrors
exiluser-VirtualBox,2019-04-09 12:15:01,3.5,18.95,4884498,6100635648,87598,68758,82776,315224,35,0
exiluser-VirtualBox,2019-04-09 12:15:04,6.7,18.96,4885699,6101532672,87598,68760,82776,315224,35,0
exiluser-VirtualBox,2019-04-09 12:15:07,4.0,18.96,4887121,6105595904,87598,68760,82776,315224,35,0
exiluser-VirtualBox,2019-04-09 12:15:10,6.7,18.96,4888554,6105604096,87598,68762,82776,315228,35,0
exiluser-VirtualBox,2019-04-09 12:15:13,0.5,18.96,4889810,6105571328,87598,68778,82776,315364,34,0
exiluser-VirtualBox,2019-04-09 12:15:16,5.1,18.96,4891592,6105190400,87598,68780,82776,315368,35,0
exiluser-VirtualBox,2019-04-09 12:15:19,3.6,18.96,4892809,6104948736,87598,68780,82776,315368,35,0
exiluser-VirtualBox,2019-04-09 12:15:22,0.5,18.96,4893590,6104825856,87598,68783,82776,315368,35,0
exiluser-VirtualBox,2019-04-09 12:15:25,1.0,18.96,4894833,6104834048,87598,68783,82776,315368,35,0
exiluser-VirtualBox,2019-04-09 12:15:28,6.6,18.96,4896078,6104588288,87598,68785,82776,315368,35,0
exiluser-VirtualBox,2019-04-09 12:15:31,4.6,18.96,4897541,6104444928,87598,68785,82776,315368,35,0
exiluser-VirtualBox,2019-04-09 12:15:34,6.6,18.96,4899342,6104588288,87598,68796,82776,315368,35,0
exiluser-VirtualBox,2019-04-09 12:15:37,5.6,18.96,4900725,6104596480,87598,68798,82776,315368,35,0
exiluser-VirtualBox,2019-04-09 12:15:40,4.1,18.96,4902254,6104477696,87598,68800,82776,315372,35,0
exiluser-VirtualBox,2019-04-09 12:15:43,5.6,18.96,4903676,6104477696,87598,68800,82776,315372,35,0
exiluser-VirtualBox,2019-04-09 12:15:46,6.2,18.96,4905671,6104477696,87598,68802,82776,315372,35,0
exiluser-VirtualBox,2019-04-09 12:15:49,5.6,18.96,4907108,6104485888,87598,68803,82776,315372,35,0
exiluser-VirtualBox,2019-04-09 12:15:52,5.6,18.97,4908661,6104485888,87598,68805,82776,315372,35,0
exiluser-VirtualBox,2019-04-09 12:15:55,6.7,18.97,4910660,6104498176,87598,68806,82776,315372,35,0
exiluser-VirtualBox,2019-04-09 12:15:58,4.1,18.97,4912089,6104371200,87598,68808,82776,315372,35,0
exiluser-VirtualBox,2019-04-09 12:16:01,5.7,18.97,4913638,6104379392,87598,68808,82776,315372,35,0
exiluser-VirtualBox,2019-04-09 12:16:05,8.1,18.97,4915668,6104506368,87598,68810,82776,315372,34,0
exiluser-VirtualBox,2019-04-09 12:16:08,4.1,18.97,4917074,6104387584,87598,68810,82776,315372,34,0
exiluser-VirtualBox,2019-04-09 12:16:11,4.1,18.97,4919015,6104387584,87598,68818,82776,315372,34,0
exiluser-VirtualBox,2019-04-09 12:16:14,4.6,18.97,4920384,6104395776,87598,68818,82776,315372,34,0
exiluser-VirtualBox,2019-04-09 12:16:17,2.6,18.98,4921740,6105010176,87598,68820,82776,315376,34,0
exiluser-VirtualBox,2019-04-09 12:16:20,1.0,18.98,4923204,6105014272,87598,68820,82776,315376,34,0
exiluser-VirtualBox,2019-04-09 12:16:23,4.0,18.98,4924373,6104920064,87598,68822,82776,315376,34,0
exiluser-VirtualBox,2019-04-09 12:16:26,1.0,18.98,4925477,6104920064,87598,68823,82776,315376,33,0
exiluser-VirtualBox,2019-04-09 12:16:29,2.6,18.98,4926422,6104924160,87598,68825,82776,315376,33,0
exiluser-VirtualBox,2019-04-09 12:16:32,0.5,18.98,4927564,6104924160,87598,68825,82776,315376,33,0
exiluser-VirtualBox,2019-04-09 12:16:35,3.1,18.98,4928646,6104940544,87598,68827,82776,315380,33,0
exiluser-VirtualBox,2019-04-09 12:16:38,4.5,18.98,4930613,6104940544,87598,68827,82776,315380,33,0
exiluser-VirtualBox,2019-04-09 12:16:41,4.0,18.98,4932675,6104940544,87598,68829,82776,315384,33,0
